timestamp,Laser/Radar,NIS,px,py,vx,vy,yaw,yawd,px_act,py_act,vx_act,vy_act,yaw_act,yawd_act
1477010449100000,L,0.0329807,18.9921,16.8161,-2.61795,3.9568,2.15531,0.579996,18.9757,16.8841,-2.50418,4.0953,2.11961,0.549826
1477010449150000,R,6.41931,18.8351,17.0075,-2.84524,3.81012,2.21222,0.636811,18.8477,17.0872,-2.61571,4.02476,2.1471,0.549957
1477010449200000,L,1.48685,18.672,17.2277,-2.99254,3.74735,2.24467,0.635062,18.7142,17.2866,-2.72534,3.95127,2.1746,0.55
1477010449250000,R,6.1648,18.5661,17.4347,-2.93951,3.77436,2.23248,0.553348,18.5752,17.4822,-2.83299,3.87489,2.2021,0.549957
1477010449300000,L,3.78902,18.3598,17.6159,-3.1277,3.65529,2.27857,0.570275,18.4309,17.674,-2.93858,3.79568,2.2296,0.549826
1477010449350000,R,2.51294,18.2229,17.8077,-3.14005,3.63593,2.28314,0.523843,18.2814,17.8617,-3.042,3.71372,2.25709,0.549609
1477010449400000,L,0.912978,18.0893,17.9944,-3.19614,3.57464,2.30035,0.515357,18.1268,18.0453,-3.14318,3.62906,2.28457,0.549305
1477010449450000,R,1.92644,17.9127,18.1513,-3.3385,3.4328,2.34227,0.543843,17.9671,18.2246,-3.24204,3.5418,2.31204,0.548915
1477010449500000,L,1.27335,17.7741,18.3009,-3.38841,3.33062,2.3648,0.54113,17.8026,18.3994,-3.3385,3.45199,2.33948,0.548437
1477010449550000,R,6.76977,17.6377,18.4851,-3.40715,3.30016,2.37214,0.513477,17.6334,18.5697,-3.43247,3.35973,2.3669,0.547873
1477010449600000,L,0.348101,17.4498,18.6584,-3.51154,3.21833,2.39973,0.514404,17.4595,18.7353,-3.5239,3.26509,2.3943,0.547223
1477010449650000,R,1.76905,17.2671,18.8021,-3.61353,3.0914,2.43391,0.528789,17.281,18.8962,-3.61271,3.16817,2.42166,0.546486
1477010449700000,L,0.467799,17.1021,18.9414,-3.67093,2.98613,2.4587,0.528251,17.0983,19.0521,-3.69883,3.06904,2.44898,0.545663
1477010449750000,R,3.04699,16.9347,19.1116,-3.70908,2.9451,2.47051,0.506963,16.9113,19.203,-3.78221,2.9678,2.47627,0.544754
1477010449800000,L,2.70133,16.7195,19.2248,-3.82133,2.79132,2.51072,0.522023,16.7201,19.3488,-3.86278,2.86455,2.5035,0.543759
1477010449850000,R,3.18331,16.5311,19.3767,-3.89266,2.70699,2.53395,0.521771,16.5251,19.4894,-3.9405,2.75938,2.53069,0.542677
1477010449900000,L,0.78556,16.3151,19.5291,-3.98638,2.62317,2.55959,0.51991,16.3262,19.6246,-4.01531,2.65237,2.55783,0.54151
1477010449950000,R,10.0695,16.0906,19.6145,-4.10282,2.41734,2.60916,0.55381,16.1237,19.7545,-4.08716,2.54364,2.5849,0.540258
1477010450000000,L,0.768772,15.8889,19.7552,-4.16187,2.33938,2.62951,0.545895,15.9176,19.8789,-4.15602,2.43329,2.61191,0.53892
1477010450050000,R,3.25409,15.6976,19.8815,-4.16426,2.30667,2.63574,0.504679,15.7082,19.9978,-4.22185,2.32141,2.63886,0.537498
1477010450100000,L,1.41904,15.4754,20.0273,-4.23561,2.24559,2.6541,0.496225,15.4956,20.111,-4.28461,2.2081,2.66574,0.53599
1477010450150000,R,5.77675,15.2687,20.1657,-4.27154,2.20239,2.66555,0.476786,15.2799,20.2185,-4.34427,2.09347,2.69253,0.534397
1477010450200000,L,1.84013,15.0772,20.2992,-4.29347,2.1508,2.67719,0.464762,15.0613,20.3203,-4.4008,1.97763,2.71925,0.532721
1477010450250000,R,2.10062,14.8482,20.3816,-4.36861,1.99271,2.71364,0.483955,14.84,20.4162,-4.4542,1.86068,2.74589,0.53096
1477010450300000,L,0.684171,14.6331,20.5003,-4.40992,1.92276,2.73044,0.476192,14.6161,20.5063,-4.50443,1.74272,2.77244,0.529115
1477010450350000,R,1.32206,14.4004,20.5854,-4.48357,1.76913,2.76577,0.497992,14.3897,20.5904,-4.55149,1.62386,2.79889,0.527187
1477010450400000,L,0.798991,14.1551,20.6596,-4.54932,1.62963,2.79762,0.504445,14.1611,20.6686,-4.59537,1.50421,2.82525,0.525176
1477010450450000,R,0.409601,13.921,20.7295,-4.60753,1.47132,2.8325,0.523136,13.9304,20.7408,-4.63606,1.38386,2.85151,0.523081
1477010450500000,L,2.02649,13.6526,20.7911,-4.6857,1.31924,2.86715,0.530358,13.6977,20.807,-4.67357,1.26294,2.87767,0.520904
1477010450550000,R,2.48711,13.407,20.8211,-4.7509,1.07359,2.91935,0.576726,13.4632,20.8671,-4.70789,1.14153,2.90371,0.518645
1477010450600000,L,0.208404,13.159,20.8652,-4.7897,0.921647,2.95149,0.579732,13.2271,20.9211,-4.73904,1.01975,2.92964,0.516304
1477010450650000,R,1.71436,12.9282,20.9225,-4.80629,0.813124,2.974,0.572719,12.9895,20.969,-4.76702,0.897694,2.95546,0.513881
1477010450700000,L,1.66007,12.7175,20.9733,-4.79781,0.709567,2.99476,0.565992,12.7506,21.0108,-4.79186,0.775469,2.98115,0.511377
1477010450750000,R,2.66767,12.4693,21.0114,-4.82862,0.571181,3.02385,0.569383,12.5106,21.0465,-4.81358,0.653175,3.00672,0.508793
1477010450800000,L,0.21072,12.2222,21.0501,-4.85153,0.45488,3.04811,0.564602,12.2695,21.0761,-4.83219,0.530912,3.03216,0.506127
1477010450850000,R,0.948578,11.9839,21.0694,-4.86194,0.301819,3.07959,0.57354,12.0276,21.0996,-4.84773,0.408778,3.05747,0.503383
1477010450900000,L,1.86042,11.7359,21.044,-4.86385,0.096814,3.12169,0.587471,11.785,21.117,-4.86022,0.286869,3.08264,0.500558
1477010450950000,R,1.09587,11.4892,21.0302,-4.86466,-0.0780491,3.15764,0.595602,11.5418,21.1283,-4.86971,0.165281,3.10767,0.497655
1477010451000000,L,0.591655,11.2653,21.0278,-4.84182,-0.209053,3.18474,0.59385,11.2982,21.1335,-4.87623,0.0441057,3.13255,0.494673
1477010451050000,R,4.18806,11.0125,20.9886,-4.83656,-0.403686,3.22487,0.605504,11.0544,21.1327,-4.87982,-0.076565,3.15728,0.491613
1477010451100000,L,0.559427,10.7932,20.9543,-4.79482,-0.563139,3.2585,0.610302,10.8105,21.1259,-4.88053,-0.196643,3.18186,0.488475
